Mnemonic	5.1 Opcode	Fields	5.2 Opcode	Fields	5.3 Opcode	Fields
MOVE	0	ABC	0	ABC	0	ABC
LOADK	1	ABx	1	ABx	1	ABx
LOADKX			2	ABx	2	ABx
LOADBOOL	2	ABC	3	ABC	3	ABC
LOADNIL	3	ABC	4	ABC	4	ABC
GETUPVAL	4	ABC	5	ABC	5	ABC
GETTABUP			6	ABC	6	ABC
GETTABLE	6	ABC	7	ABC	7	ABC
SETTABUP			8	ABC	8	ABC
SETUPVAL	8	ABC	9	ABC	9	ABC
SETTABLE	9	ABC	10	ABC	10	ABC
NEWTABLE	10	ABC	11	ABC	11	ABC
SELF	11	ABC	12	ABC	12	ABC
ADD	12	ABC	13	ABC	13	ABC
SUB	13	ABC	14	ABC	14	ABC
MUL	14	ABC	15	ABC	15	ABC
MOD	16	ABC	17	ABC	16	ABC
POW	17	ABC	18	ABC	17	ABC
DIV	15	ABC	16	ABC	18	ABC
IDIV					19	ABC
BAND					20	ABC
BOR					21	ABC
BXOR					22	ABC
SHL					23	ABC
SHR					24	ABC
UNM	18	ABC	19	ABC	25	ABC
BNOT					26	ABC
NOT	19	ABC	20	ABC	27	ABC
LEN	20	ABC	21	ABC	28	ABC
CONCAT	21	ABC	22	ABC	29	ABC
JMP	22	AsBx	23	AsBx	30	AsBx
EQ	23	ABC	24	ABC	31	ABC
LT	24	ABC	25	ABC	32	ABC
LE	25	ABC	26	ABC	33	ABC
TEST	26	ABC	27	ABC	34	ABC
TESTSET	27	ABC	28	ABC	35	ABC
CALL	28	ABC	29	ABC	36	ABC
TAILCALL	29	ABC	30	ABC	37	ABC
RETURN	30	ABC	31	ABC	38	ABC
FORLOOP	31	AsBx	32	AsBx	39	AsBx
FORPREP	32	AsBx	33	AsBx	40	AsBx
TFORCALL			34	ABC	41	ABC
TFORLOOP	33	ABC	35	AsBx	42	AsBx
SETLIST	34	ABC	36	ABC	43	ABC
CLOSURE	36	ABx	37	ABx	44	ABx
VARARG	37	ABC	38	ABC	45	ABC
EXTRAARG			39	Ax	46	Ax
GETGLOBAL	5	ABx				
SETGLOBAL	7	ABx				
CLOSE	35	ABC				
